Month,Region,Revenue_Target,Profit_Target
2023-01-01,North,694152,184474
2023-02-01,South,855492,193066
2023-03-01,East,579335,160400
2023-04-01,West,788456,275211
2023-05-01,North,566985,160345
2023-06-01,South,630744,183896
2023-07-01,East,751713,178899
2023-08-01,West,863107,178229
2023-09-01,North,671349,155583
2023-10-01,South,531551,285969
2023-11-01,East,589813,221537
2023-12-01,West,863169,285639
2024-01-01,North,886486,224807
2024-02-01,South,676284,279648
2024-03-01,East,509637,262652
2024-04-01,West,805402,294401
2024-05-01,North,629553,221792
2024-06-01,South,526950,281300
2024-07-01,East,627870,187052
2024-08-01,West,500215,338841
2024-09-01,North,867747,196032
2024-10-01,South,773667,183686
2024-11-01,East,830833,226981
2024-12-01,West,523834,248802
