user_id,content_id,rating,completion_percentage,favorite,date_interacted
1861,544,8,19,FALSE,02-09-2022
2315,999,,95,FALSE,23-12-2022
4415,41,3,76,FALSE,20-05-2023
509,819,,,FALSE,06-06-2023
4415,698,,,FALSE,27-08-2025
1021,678,,,FALSE,08-07-2022
3179,243,,72,FALSE,29-09-2021
4961,748,,27,FALSE,30-10-2025
4277,572,,18,FALSE,25-04-2022
4380,915,,,FALSE,18-01-2021
2170,29,,,FALSE,29-11-2024
4114,18,,,TRUE,13-05-2021
410,1061,,,FALSE,14-01-2021
2453,196,,78,FALSE,09-09-2025
2309,672,,,TRUE,19-11-2022
1435,428,,80,FALSE,26-12-2024
1680,653,,64,FALSE,09-04-2021
4148,173,,72,TRUE,27-05-2023
4831,910,,26,FALSE,10-01-2022
1922,158,1,,FALSE,08-11-2024
2081,862,7,74,FALSE,10-04-2024
611,500,,,FALSE,07-09-2023
2335,1241,,42,FALSE,25-10-2023
1343,1332,,,FALSE,28-07-2020
540,1406,,,FALSE,30-06-2022
3903,447,6,,FALSE,19-05-2024
4611,772,,,FALSE,21-08-2022
2320,1391,9,,FALSE,08-08-2023
2351,167,,,FALSE,19-10-2022
4733,124,,,FALSE,28-07-2022
1369,57,,,FALSE,04-02-2023
2066,1349,,27,FALSE,06-11-2025
2812,588,,,FALSE,26-08-2022
895,657,,,FALSE,09-11-2020
2296,276,,16,TRUE,01-02-2022
3176,1490,3,41,FALSE,16-12-2023
3539,707,2,,FALSE,04-09-2022
2721,1120,,,FALSE,10-07-2021
95,904,,,FALSE,03-03-2020
3862,605,,26,TRUE,24-07-2020
3222,912,,,FALSE,28-03-2023
4297,1132,,,FALSE,11-11-2020
317,1188,4,,FALSE,02-10-2020
4728,188,,65,FALSE,18-09-2025
1445,1346,,15,FALSE,25-06-2024
3507,621,,,FALSE,12-04-2020
4971,126,,,FALSE,14-05-2025
3847,880,4,,FALSE,12-11-2021
4994,761,,,TRUE,09-02-2025
3662,916,,,TRUE,29-05-2025
804,769,4,51,FALSE,22-02-2023
1366,796,,,FALSE,20-02-2025
3079,1109,,19,FALSE,03-02-2021
3643,1424,,,FALSE,19-11-2022
4463,1078,,,FALSE,30-07-2024
2948,544,,,FALSE,03-10-2023
683,1467,,,FALSE,26-06-2022
3370,54,,15,FALSE,03-04-2025
79,625,,,FALSE,18-12-2022
3243,1471,6,,FALSE,14-01-2024
2285,883,,46,FALSE,18-07-2022
4258,698,,,TRUE,14-01-2025
2923,946,,33,FALSE,26-10-2023
815,527,,,FALSE,31-01-2022
1176,813,,48,FALSE,13-11-2021
2191,1261,5,,TRUE,22-05-2024
2644,647,,,FALSE,03-07-2024
3081,889,,,FALSE,02-10-2024
4429,374,,34,FALSE,22-10-2020
3861,1372,8,43,FALSE,10-09-2020
842,1365,,,FALSE,21-07-2020
3279,249,,84,FALSE,25-01-2025
4112,340,,,FALSE,06-03-2025
2672,928,4,,TRUE,09-08-2021
2324,543,,,FALSE,03-12-2023
1996,247,10,,FALSE,30-07-2024
623,328,5,,FALSE,21-07-2025
1580,415,9,,TRUE,25-07-2020
1650,1432,8,88,FALSE,01-04-2025
604,337,,,FALSE,13-11-2020
4409,1468,,82,FALSE,29-09-2024
4909,828,3,53,TRUE,31-10-2020
1353,522,2,73,TRUE,01-09-2024
4087,980,,,TRUE,02-07-2023
1537,724,,,FALSE,17-03-2024
3809,1461,,,TRUE,07-06-2024
1832,1285,,29,FALSE,16-04-2024
2668,128,3,97,FALSE,02-09-2024
4116,567,,,FALSE,16-06-2020
244,586,2,,FALSE,26-08-2025
2751,613,3,,FALSE,10-02-2025
2903,1025,,94,FALSE,19-03-2025
2106,83,,,FALSE,22-09-2022
1512,968,1,,FALSE,09-07-2024
2791,1467,,97,FALSE,22-03-2020
436,1477,,,FALSE,17-11-2020
3670,1077,,,FALSE,23-09-2025
3467,1076,,15,FALSE,21-08-2021
226,752,2,,TRUE,15-09-2022
655,227,,,FALSE,02-06-2022
1253,662,,,FALSE,19-06-2022
1349,279,4,,TRUE,13-05-2021
3668,712,,,FALSE,13-03-2020
3069,944,,,FALSE,23-11-2023
1789,810,8,,FALSE,26-03-2024
1214,504,5,,FALSE,15-04-2024
3318,475,,73,TRUE,07-05-2024
2714,88,1,10,FALSE,04-08-2020
4693,569,,41,FALSE,03-01-2024
2757,844,5,,FALSE,24-08-2020
245,446,10,,FALSE,17-02-2020
2832,1462,,64,FALSE,16-08-2022
1765,1394,,91,FALSE,04-05-2022
1536,535,2,46,FALSE,14-12-2024
4818,100,10,53,FALSE,28-10-2025
134,222,8,,FALSE,26-11-2022
614,255,,,TRUE,29-09-2020
2266,300,,,FALSE,27-09-2022
914,216,,85,FALSE,13-09-2021
2321,1164,,,TRUE,16-05-2020
3948,995,,,FALSE,16-08-2022
4031,157,,,TRUE,17-09-2022
4986,630,10,,FALSE,03-06-2025
4653,853,4,80,TRUE,06-08-2021
4823,1112,,,FALSE,29-03-2021
4264,1365,5,,FALSE,14-01-2020
1075,445,1,,FALSE,09-12-2022
1241,758,8,,FALSE,11-10-2023
3276,282,,96,FALSE,07-04-2023
677,35,6,,FALSE,12-08-2022
4451,1368,2,,FALSE,18-12-2021
1461,1126,,,TRUE,10-06-2021
1271,608,,,FALSE,14-11-2025
2264,548,,53,FALSE,24-12-2021
3071,754,5,,FALSE,17-03-2022
4807,1488,,,FALSE,25-03-2022
4928,1016,9,30,TRUE,09-03-2022
3672,73,,19,FALSE,18-03-2020
352,1025,,85,TRUE,06-07-2023
2212,1378,1,,FALSE,14-10-2022
3987,674,10,,FALSE,29-07-2025
700,963,,,FALSE,26-04-2022
3896,1216,4,,TRUE,06-02-2024
4907,1404,9,,FALSE,25-07-2025
4808,185,,,FALSE,11-04-2021
2933,27,,64,TRUE,12-03-2025
3306,338,1,,FALSE,03-10-2022
3323,1398,2,,FALSE,29-09-2022
4040,736,5,90,TRUE,27-04-2023
1740,1174,,53,FALSE,28-08-2021
2381,766,,,FALSE,17-01-2020
958,1354,,,FALSE,30-09-2022
1360,686,,52,FALSE,28-10-2023
4742,1454,,,TRUE,17-10-2021
4006,25,,,TRUE,19-04-2023
1009,1477,,,FALSE,28-01-2020
960,796,,,FALSE,18-11-2023
2257,764,,,TRUE,06-01-2024
2332,1088,6,,FALSE,06-09-2022
90,844,,,FALSE,29-09-2020
1100,1183,,,FALSE,23-03-2020
4092,911,,25,FALSE,09-12-2023
2208,1289,,58,FALSE,07-02-2025
1616,178,,23,FALSE,05-12-2020
3529,393,5,,TRUE,06-09-2025
4285,1025,,,FALSE,14-09-2025
4514,551,,80,FALSE,21-02-2024
3096,192,7,,FALSE,17-07-2022
1622,1188,,,FALSE,24-08-2020
4630,422,6,,FALSE,23-01-2021
3696,514,,,FALSE,04-10-2021
1867,143,,,FALSE,08-08-2024
1562,923,,,FALSE,01-06-2020
1204,1471,,,FALSE,05-05-2020
1938,605,,,FALSE,20-11-2024
106,587,5,,FALSE,08-02-2022
1789,742,,41,FALSE,29-08-2021
1808,970,,47,FALSE,14-06-2021
4514,952,,,FALSE,30-06-2025
4801,904,10,43,FALSE,23-11-2020
3960,473,,,FALSE,25-06-2022
4963,356,4,,FALSE,09-12-2023
4965,1151,,,FALSE,18-11-2025
1467,1262,,,FALSE,12-03-2022
4258,835,,22,FALSE,20-12-2020
3452,334,,,FALSE,16-09-2023
232,434,,67,FALSE,01-09-2025
1674,1221,4,,FALSE,19-04-2025
1114,1387,,,FALSE,15-01-2023
4097,1082,,,FALSE,13-05-2024
870,31,,,FALSE,25-09-2020
3054,1465,,66,FALSE,25-07-2024
1007,1072,9,86,FALSE,16-02-2024
3418,1444,,,TRUE,29-10-2025
4647,416,4,60,FALSE,17-10-2021
2566,1062,6,39,FALSE,13-12-2022
3128,659,1,,FALSE,14-10-2024
3167,1092,,,FALSE,28-09-2023
4476,768,10,53,FALSE,14-12-2023
2799,162,,,FALSE,05-02-2023
1240,999,,,FALSE,01-07-2022
300,1490,9,,FALSE,11-07-2021
4834,739,,,FALSE,05-05-2024
1701,352,8,85,TRUE,30-07-2022
4191,602,4,58,FALSE,29-04-2025
2962,948,,,FALSE,23-03-2023
3843,1145,,,TRUE,05-05-2022
