user_id,username,age,gender,country,mbti_type
1,adam49,31,Male,Anguilla,ISTP
2,agriffin,27,Male,Sudan,INFP
3,desiree34,33,Other,India,ESTP
4,thomaslaura,40,Male,Montenegro,INTP
5,ggregory,15,Female,Sweden,ESTP
6,brooksadam,32,Female,Macedonia,INTP
7,lewisjoshua,29,Male,Solomon Islands,ISFJ
8,meyersierra,32,Male,Trinidad and Tobago,ENFJ
9,tatedavid,45,Female,Bahrain,ENFP
10,hamiltonsteven,33,Female,Palau,ESTJ
11,donald22,41,Female,Cyprus,ESTJ
12,jenna28,48,Female,Dominican Republic,ESTP
13,ydavies,36,Male,Liberia,ENTP
14,janet29,21,Male,Comoros,ISTJ
15,gonzalezlarry,32,Female,Equatorial Guinea,ENFJ
16,melissa89,13,Male,Guam,ESFJ
17,luismcmahon,44,Other,Syrian Arab Republic,ENFP
18,nortonadam,31,Male,Sweden,ISFJ
19,leah91,15,Other,Ireland,ISFP
20,kylesanders,49,Female,Central African Republic,INTJ
21,dwilliams,13,Other,Lebanon,ENTP
22,qnguyen,24,Male,Tuvalu,ESFP
23,valdezjessica,38,Male,Mauritania,ENFJ
24,brettprince,18,Male,Guinea-Bissau,ESFJ
25,juangonzalez,31,Female,Canada,ENTP
26,saracochran,27,Female,Brazil,INTJ
27,raymond05,24,Female,Eritrea,INTJ
28,mgray,34,Female,Cayman Islands,INFJ
29,elizabethjohnson,48,Female,Afghanistan,ISFP
30,larsenmargaret,41,Female,Saint Lucia,ISTJ
31,susanchristian,46,Female,French Guiana,INTJ
32,garrett36,23,Male,Turks and Caicos Islands,ISTP
33,wmorris,22,Female,Samoa,INFP
34,susan87,47,Female,Cape Verde,ISTP
35,adam25,26,Male,Iraq,ISFP
36,wsparks,30,Male,Ecuador,ISFP
37,kellyfrench,15,Male,Suriname,ENTJ
38,holdenbrianna,22,Male,Slovenia,INTJ
39,oconnorbradley,20,Female,French Guiana,ENFP
40,erika96,34,Other,Saudi Arabia,ENTP
41,brianna30,17,Male,Falkland Islands (Malvinas),ENFP
42,deborahmorales,16,Male,Honduras,ISFP
43,dawnhoffman,46,Male,Palestinian Territory,INFJ
44,blake93,28,Male,South Georgia and the South Sandwich Islands,ISFJ
45,victor24,23,Male,Qatar,INFP
46,ellisnatasha,16,Male,Rwanda,ISFP
47,kellyweaver,36,Male,Palau,INTP
48,knightvictor,36,Male,Estonia,ENTJ
49,slee,36,Female,Kazakhstan,INFP
50,patrick18,38,Female,Uganda,INTP
51,samantha38,35,Female,Guinea,ESTJ
52,pittskristina,29,Female,Slovakia (Slovak Republic),ISFJ
53,ralph64,25,Female,South Africa,INFJ
54,michaelmaddox,37,Male,Netherlands Antilles,ISFJ
55,annette85,41,Female,Hungary,INTP
56,william75,37,Male,Honduras,ENTP
57,pchavez,21,Female,Faroe Islands,ENTP
58,kaitlyn12,21,Female,Spain,INFP
59,pcline,30,Female,Turks and Caicos Islands,ESFP
60,oburgess,22,Other,Estonia,ISFJ
61,susancook,38,Male,Senegal,INFJ
62,amanda64,15,Female,Greenland,INTP
63,kaitlin67,49,Female,Malawi,INTP
64,jromero,20,Female,Northern Mariana Islands,ENFP
65,jeffreyparks,36,Female,Faroe Islands,ESFJ
66,dmunoz,36,Male,Pakistan,INTP
67,timothygross,35,Male,United States Virgin Islands,ESTP
68,zmorgan,40,Female,Monaco,ESFP
69,sheri56,14,Female,Estonia,ENTJ
